text,vague_label
слушай поствь таймер,UNKNOWN
бивис мне не слышно,DELTA_PLUS_25
закрой окно брат,UNKNOWN
слушай громковато как то пожалуйста,DELTA_MINUS_10
сушай сделай звук еле еле плиз,SET_10
короче сдделай тише сейчас,DELTA_MINUS_10
короче почти оглох,DELTA_MINUS_25
эй бивис средне плиз,SET_50
пожалуйста комфортно быстро,SET_60
звук еле слышно,DELTA_PLUS_15
слушай а ну тихо,DELTA_MINUS_10
пожалуйса чуть чуть громче,DELTA_PLUS_5
бивис поромче плиз,DELTA_PLUS_10
брух тихо слышно сейчас,DELTA_PLUS_15
слушай громко,DELTA_MINUS_10
брух тихо слышно быстро,DELTA_PLUS_15
найди файл быстрро,UNKNOWN
поставь на ноль пожалуйста,SET_0
слушаай плохо слышно сейчас,DELTA_PLUS_15
слушай чуть чуть потише пожалуйста,DELTA_MINUS_5
брух сделай погромче нормально брат,SET_70
ну оченнь тихо плиз,DELTA_PLUS_25
короче убери звук,SET_0
бивис поставь на ноль плиз,SET_0
пожалуйста нормально бысстро,SET_50
бивис громковато сейчас,DELTA_MINUS_10
брух откорй ютуб,UNKNOWN
брух найдди файл брат,UNKNOWN
брух сделай скриншот пожалуйста,UNKNOWN
бивис средне быстро,SET_50
короче мьют плиз,SET_0
бивис очень тихо слышно плиз,DELTA_PLUS_15
слушай слегка тише сечас,DELTA_MINUS_5
короче открой браузер пожалуйста,UNKNOWN
бивис добавь громкости пожалуйста,DELTA_PLUS_10
пожалуйста запусти блокнот быстро,UNKNOWN
выруби звук сейчас,SET_0
слушай добавь громкости плиз,DELTA_PLUS_10
брух зактни плиз,SET_0
бивис обычный звук пожалуйста,SET_60
слушай фигоово слышно плиз,DELTA_PLUS_15
чуть чуть громче сейчас,DELTA_PLUS_5
короче сделай громче брат,DELTA_PLUS_10
бивис на поллную пожалуйста,SET_100
сдеелай звук еле еле плиз,SET_10
найди файл сейчас,UNKNOWN
расскажи анекдот плиз,UNKNOWN
бивис еле слышо пожалуйста,DELTA_PLUS_15
пожалуйста убери звук быстро,SET_0
пожалуйста обычный уровень брат,SET_60
брух бивис чуть чуть потише сейчас,DELTA_MINUS_5
слушай почти максимум пожалуйста,SET_90
короче биис чуть чуть потише,DELTA_MINUS_5
эй бивис не слышно,DELTA_PLUS_25
бивис обычный звук пожалуйса,SET_60
пожалуйста сделай ноль пожалуйста,SET_0
брух сделай звук еле еле быстро,SET_10
слушай сделй почти без звука,SET_10
брух бивис чуть чуть потише,DELTA_MINUS_5
слушай сделай звук еле еле сейчас,SET_10
брух тише быстро,DELTA_MINUS_10
брух чуть прибавь плиз,DELTA_PLUS_5
брух сделай звук еле еле пожалуйста,SET_10
эй бивис громче,DELTA_PLUS_10
слушай найди файл пожалуйста,UNKNOWN
слушай открой ютуб пожалуйста,UNKNOWN
бвиис чуть чуть потише быстро,DELTA_MINUS_5
пожалуйста тише брат,DELTA_MINUS_10
сделай тише пожалуйста,DELTA_MINUS_10
брух плохо слышно пожалуйста,DELTA_PLUS_15
брух бивиис чуть чуть громче плиз,DELTA_PLUS_5
ну запусти блокнот брат,UNKNOWN
пожалуййста чуть убавь,DELTA_MINUS_5
звук режет уши,DELTA_MINUS_25
бивис сделай почтти без звука пожалуйста,SET_10
корроче слишком громко быстро,DELTA_MINUS_15
пожалуйста погромче пожалуйста,DELTA_PLUS_10
слушй чуть тише,DELTA_MINUS_5
бивис запусти блокнот плиз,UNKNOWN
слушай немного тише пожалуйста,DELTA_MINUS_5
что по времени плиз,UNKNOWN
короче нйди файл,UNKNOWN
ну запусти блокнот,UNKNOWN
ну чуть убавь быстро,DELTA_MINUS_5
эй бивис на ноль,SET_0
ну сделай звук обыччным быстро,SET_60
слушай обычный уровень пожалуйста,SET_60
брух чуть убавь сейчас,DELTA_MINUS_5
ну очень тихо слышно,DELTA_PLUS_15
ну комфортно плиз,SET_60
короче обычный звук сейчас,SET_60
коорче орёт,DELTA_MINUS_25
ну а ну тихо бысрто,DELTA_MINUS_10
пожалуйста что по времени плиз,UNKNOWN
брух что по времени плиз,UNKNOWN
пожалуйса приглуши брат,SET_20
короче отркой браузер,UNKNOWN
слушай чуть тише пожалуйста,DELTA_MINUS_5
короче громковато как то,DELTA_MINUS_10
открой ютуб плиз,UNKNOWN
бивис какая погоа,UNKNOWN
слушай сделай скриншот плиз,UNKNOWN
ну чуть чуть потише,DELTA_MINUS_5
ну сделай скриншот плиз,UNKNOWN
бивис мне не слышно брат,DELTA_PLUS_25
брух обычный звук пожалуйста,SET_60
слушай закрой окно пожалуйста,UNKNOWN
эй бивис почти на максимум сейчас,SET_90
эй бивис селай тише,DELTA_MINUS_10
коороче очень тихо слышно,DELTA_PLUS_15
пожалуйта на середину брат,SET_50
слушай очень тихо слышно плиз,DELTA_PLUS_15
пожалуйста заглуши звук пожалуйста,SET_0
сделай тише,DELTA_MINUS_10
слушай переключи песню быстро,UNKNOWN
ну выключи звук плиз,SET_0
эй бивис почти на максимум,SET_90
почти на максимум брат,SET_90
слушай поствь таймер пожалуйста,UNKNOWN
ну посавь еле слышно,SET_10
слушай слегка громче быстро,DELTA_PLUS_5
эй биивс мне не слышно брат,DELTA_PLUS_25
не слышно брат,DELTA_PLUS_25
пожалуйста открой ютуб пожалуйста,UNKNOWN
брух гроковато как то брат,DELTA_MINUS_10
короче в ноль,SET_0
брух прибавь,DELTA_PLUS_10
пожалуйста сделай приглушенно быстро,SET_20
слушай на полную брат,SET_100
пожалуйста фигово слышно плиз,DELTA_PLUS_15
бивис закрой окно,UNKNOWN
короче замолчи плиз,SET_0
бивис заткнись брат,SET_0
эй бивис громко слишком плиз,DELTA_MINUS_15
бивис убери звук,SET_0
комфортно брат,SET_60
пожалуйста поставь еле слышно плиз,SET_10
слушай не слышно плиз,DELTA_PLUS_25
брух чуть чуть громче плиз,DELTA_PLUS_5
эй бивис сделай почти без звука брат,SET_10
ну пчоти оглох пожалуйста,DELTA_MINUS_25
ничего не слышно плиз,DELTA_PLUS_25
динамики рвуутся брат,DELTA_MINUS_25
сделай еле слышно сейчас,SET_10
слушай очень тихо,DELTA_PLUS_25
бивис сделай приглушенно,SET_20
брух чуть грмоче,DELTA_PLUS_5
откключи звук сейчас,SET_0
слушай чуть чуть потише,DELTA_MINUS_5
бивис заткни брат,SET_0
брух без звуука,SET_0
короче чуть убавь сейчас,DELTA_MINUS_5
брух динамики рвутся плиз,DELTA_MINUS_25
прибваь быстро,DELTA_PLUS_10
ну громко сишком,DELTA_MINUS_15
пожалуйста в ноль пожалуйста,SET_0
бивис слегка тише брат,DELTA_MINUS_5
нормально плиз,SET_50
ну на ноль брат,SET_0
эй бивис открой баузер сейчас,UNKNOWN
бивис почти на максимум плиз,SET_90
слушай чуть прибавь сейчас,DELTA_PLUS_5
слушай заткни пожалуйста,SET_0
пожалуйста громко слиишком быстро,DELTA_MINUS_15
слушай приглуши звук,SET_20
слушай сделай скриншот быстро,UNKNOWN
зактни пожалуйста,SET_0
короче очень громко пожалйста,DELTA_MINUS_25
эй бивис в ноль брат,SET_0
слушай сделай звук обычным,SET_60
эй бивис немного тише брат,DELTA_MINUS_5
эй биввис убери звук плиз,SET_0
слушай что по вреемени,UNKNOWN
брух чуть тише быстро,DELTA_MINUS_5
слушаай на ноль пожалуйста,SET_0
короче какая погда,UNKNOWN
мьют брат,SET_0
очень тихо сылшно брат,DELTA_PLUS_15
эй биивс очень тихо брат,DELTA_PLUS_25
пожалуйста немного тише быстро,DELTA_MINUS_5
слушай громко пожалуйста,DELTA_MINUS_10
бивис отключи звук сейчас,SET_0
поставь таймер сейчас,UNKNOWN
ну средне плиз,SET_50
бивис средне,SET_50
пожалуйста тише,DELTA_MINUS_10
эй бивис обычный уорвень быстро,SET_60
корооче зактни,SET_0
заткнись сейчс,SET_0
бивис фигово слышно брат,DELTA_PLUS_15
эй бивис отккрой ютуб брат,UNKNOWN
короче запусти блокнот пожалуйста,UNKNOWN
пожалуйста плохо слышно,DELTA_PLUS_15
пожалуйста переклчи песню сейчас,UNKNOWN
пожалуйста сделай скришнот быстро,UNKNOWN
слушай сделай очень тихо пожалуйста,SET_10
бивис седлай очень тихо плиз,SET_10
ну сделай приглушенно плиз,SET_20
короче на полнную,SET_100
брух заглуши звук,SET_0
брух еле слышно брат,DELTA_PLUS_15
брух бивис чуть чуть потие сейчас,DELTA_MINUS_5
почти оглох сейчас,DELTA_MINUS_25
брух переключи песню быыстро,UNKNOWN
пожалуйста бивис чуть чуть громче,DELTA_PLUS_5
слушай погромче быстро,DELTA_PLUS_10
брух не сллышно,DELTA_PLUS_25
эй бивис обычный звук плиз,SET_60
ну почти оглох быстро,DELTA_MINUS_25
эй бивис переключи песню сейчас,UNKNOWN
брух громковато пожалуйста,DELTA_MINUS_10
выключи звук плиз,SET_0
почти максимум,SET_90
короче очень тихо,DELTA_PLUS_25
слушай сделай тише,DELTA_MINUS_10
брух обычный звук,SET_60
бивис чуть прибавь сейчас,DELTA_PLUS_5
эй бивис сделай чуть громче пожалуйста,DELTA_PLUS_5
ну найди файл брат,UNKNOWN
бивис почти на максимум быстро,SET_90
бивис громко но не максимум быстро,SET_80
бивис очень громко быстро,DELTA_MINUS_25
бивис убавь,DELTA_MINUS_10
эй бивис а ну тихо брат,DELTA_MINUS_10
фигово слышнно быстро,DELTA_PLUS_15
эй бивис тихо слышно плиз,DELTA_PLUS_15
ну чуть прибавь плиз,DELTA_PLUS_5
ну раскажи анекдот плиз,UNKNOWN
короче почти не слышу сейчас,DELTA_PLUS_25
эй бивис сделай звук еле еле пожалуйста,SET_10
чуть чуть потише сейчас,DELTA_MINUS_5
эй бивис громмковато как то,DELTA_MINUS_10
брух а ну тихо пожалуйста,DELTA_MINUS_10
слушай сделай почти без звука брат,SET_10
короче пчти максимум пожалуйста,SET_90
ну громко сейчас,DELTA_MINUS_10
ну кофмортно плиз,SET_60
пожалуйста сделай приглушенно брат,SET_20
ну почти максиумм плиз,SET_90
короче не слышно брат,DELTA_PLUS_25
короче почти не слышу брат,DELTA_PLUS_25
ну немного громче сейчас,DELTA_PLUS_5
пожалуйста тише быстро,DELTA_MINUS_10
короче громче,DELTA_PLUS_10
запусти блоккнот плиз,UNKNOWN
пожалуйста сделай скриншот сейчас,UNKNOWN
короче еле слышно сейчас,DELTA_PLUS_15
пожалуйста фигово слышно сейчас,DELTA_PLUS_15
динамики рвуться сейчас,DELTA_MINUS_25
брух слишом громко плиз,DELTA_MINUS_15
пожалуйста чуть гормче пожалуйста,DELTA_PLUS_5
слушай слегка тише,DELTA_MINUS_5
ну седлай ноль,SET_0
ну чуть убавь плиз,DELTA_MINUS_5
эй бивис немного тише,DELTA_MINUS_5
кооче плохо слышно,DELTA_PLUS_15
сллушай зактни,SET_0
эй бивис мьют сейчас,SET_0
эй бвиис закрой окно,UNKNOWN
ну убавь быстро,DELTA_MINUS_10
обычный звук плиз,SET_60
бивис мне не слышно плиз,DELTA_PLUS_25
слегка тише брат,DELTA_MINUS_5
слушай поставь таймер плиз,UNKNOWN
брух заглуши звук сейчас,SET_0
эй бивис сделай звук еле еле,SET_10
пожалуйста а ну тихо,DELTA_MINUS_10
эй бивис чуть тише брат,DELTA_MINUS_5
бивис чуть громче,DELTA_PLUS_5
короче на середину быстро,SET_50
эй бивис бивис чуть чуть потише пожалуйтса,DELTA_MINUS_5
ну чуть уабвь сейчас,DELTA_MINUS_5
бивис расскажи анекдот,UNKNOWN
слушай громкко слишком,DELTA_MINUS_15
короче слишком громко,DELTA_MINUS_15
короче чуть убавь брат,DELTA_MINUS_5
пжоалуйста поставь таймер,UNKNOWN
пожалуйста слегка громче пожалуйста,DELTA_PLUS_5
бивис почти не слышу,DELTA_PLUS_25
пожаулйста сделай звук обычным плиз,SET_60
короче открой ютуб плиз,UNKNOWN
брух громовато пожалуйста,DELTA_MINUS_10
брух открой браузер плиз,UNKNOWN
пожалуйста в ноль плиз,SET_0
пожалуйста очень тихо быстро,DELTA_PLUS_25
короче немного громче,DELTA_PLUS_5
бивис запусти блокнот пожалуйста,UNKNOWN
пожалуйста громче быстро,DELTA_PLUS_10
бивис заткни сейчас,SET_0
сушай какая погода пожалуйста,UNKNOWN
слушай тихо слышно сейчас,DELTA_PLUS_15
ну тише быстро,DELTA_MINUS_10
пожалуйста потише плиз,DELTA_MINUS_10
ну на ноль,SET_0
средне пожалуйста,SET_50
ну немного тише,DELTA_MINUS_5
эй бивис средне быстро,SET_50
звук еле сышно,DELTA_PLUS_15
брух сделай громче быстро,DELTA_PLUS_10
брух запусти бллокнот сейчас,UNKNOWN
эй бивис громко быыстро,DELTA_MINUS_10
ну заткни плиз,SET_0
пожалуйта мне не слышно брат,DELTA_PLUS_25
слушай еле слышно быстро,DELTA_PLUS_15
эй бивис на ноль плиз,SET_0
брух почти не слшыу брат,DELTA_PLUS_25
эй биивис убери звук плиз,SET_0
ну выруби звук быстро,SET_0
короче сделай тише быстро,DELTA_MINUS_10
фигово слышно брат,DELTA_PLUS_15
громковато как то,DELTA_MINUS_10
эй бивис звук еле слышно пожалуйста,DELTA_PLUS_15
бивис не слышно,DELTA_PLUS_25
тише сейчас,DELTA_MINUS_10
слушай замолчи,SET_0
эй биввис уши режет,DELTA_MINUS_25
ну почти не сылшу,DELTA_PLUS_25
пожалуйста на максимум плиз,SET_100
брух ничего не слышно плиз,DELTA_PLUS_25
слушай очень тихо сейчас,DELTA_PLUS_25
ну тихо слышно,DELTA_PLUS_15
ну очень громко пожалууйста,DELTA_MINUS_25
ну плохо слышно плиз,DELTA_PLUS_15
слшуай нормально плиз,SET_50
ну приглуши пожалуйста,SET_20
совсем не слышно брат,DELTA_PLUS_25
бивис ничего не слышно быстро,DELTA_PLUS_25
корчое сделай тише пожалуйста,DELTA_MINUS_10
сушай громко но не максимум,SET_80
брух открой браузер быстро,UNKNOWN
брух замолчи,SET_0
бивис немного тише быстро,DELTA_MINUS_5
ну еле слышно сейччас,DELTA_PLUS_15
короче обычный уровень сейчас,SET_60
бивис перееключи песню,UNKNOWN
почти оглох,DELTA_MINUS_25
короче переключи песю брат,UNKNOWN
пожалуйста почти не слышу бысрто,DELTA_PLUS_25
корое сделай скриншот,UNKNOWN
пожалуйста сделай звук еле еле,SET_10
пожалуйста зактни пожалуйстта,SET_0
брух поставь на ноль пожалуйста,SET_0
брух громо плиз,DELTA_MINUS_10
ну сделай погромче нормально пожалуйста,SET_70
брух очень громко быстро,DELTA_MINUS_25
брух а ну тихо быстрро,DELTA_MINUS_10
слушай выключи звук,SET_0
бивис громко сейчас,DELTA_MINUS_10
бивис уши режет,DELTA_MINUS_25
пожалуйста орёт плиз,DELTA_MINUS_25
пожалуйста почти не сышу плиз,DELTA_PLUS_25
эй бивис добавь громкости быстро,DELTA_PLUS_10
слушай отключи звук,SET_0
биивис добавь громкости пожалуйста,DELTA_PLUS_10
пожалуйста прибавь брат,DELTA_PLUS_10
эй бивис приглуши звук пожалйуста,SET_20
слушай фигово слышно брат,DELTA_PLUS_15
слушай расскажи анедкот плиз,UNKNOWN
бивис потише,DELTA_MINUS_10
биивис мне не слышно пожалуйста,DELTA_PLUS_25
брух фигвоо слышно быстро,DELTA_PLUS_15
слушай динамики рвуться,DELTA_MINUS_25
почти максимум плиз,SET_90
слушай в ноль сейчас,SET_0
динамики рвуться,DELTA_MINUS_25
пожалуйста бивис чуть чуть громче брат,DELTA_PLUS_5
брух тише брат,DELTA_MINUS_10
чуть убавь пожалуйста,DELTA_MINUS_5
пожалуйста динамики рвуться,DELTA_MINUS_25
громко пожалуйста,DELTA_MINUS_10
брух плохо слышно быстро,DELTA_PLUS_15
пожалуйста тихо слышно сейчас,DELTA_PLUS_15
ну чуть чуть потише сейчас,DELTA_MINUS_5
ну мне не слыншо сейчас,DELTA_PLUS_25
слушай слышно фигово брат,DELTA_PLUS_15
брух отрой браузер,UNKNOWN
поставь тайммер брат,UNKNOWN
короче а ну тихо пожалуйста,DELTA_MINUS_10
эй бивис еле слышно плиз,DELTA_PLUS_15
эй бивис открой браузер брат,UNKNOWN
пожалуйста немного громче брат,DELTA_PLUS_5
сушай приглуши звук,SET_20
пожалуйста какая погоода брат,UNKNOWN
громко но не максимум плиз,SET_80
погроче брат,DELTA_PLUS_10
бивис орёт,DELTA_MINUS_25
слушай чуть чуть потише быстрро,DELTA_MINUS_5
пожалуйста комфортно брат,SET_60
эй бивис звук еле слышно сейчас,DELTA_PLUS_15
сделай грмоче,DELTA_PLUS_10
рассажи анекдот,UNKNOWN
брух бивис чуть чуть потише плиз,DELTA_MINUS_5
слушай комфортно пожалуйста,SET_60
короче орёт пожалуйста,DELTA_MINUS_25
короче открой браузер брат,UNKNOWN
пожалуйста заткнись быстро,SET_0
эй бивис звук режет уши брат,DELTA_MINUS_25
брух громковато как то брат,DELTA_MINUS_10
короче очень тихо слышно пожалуйста,DELTA_PLUS_15
ну громко плиз,DELTA_MINUS_10
ну убери звук,SET_0
пожалуйста фигоово слышно сейчас,DELTA_PLUS_15
слушай совсем не слышно быстро,DELTA_PLUS_25
короче чуть прибаавь брат,DELTA_PLUS_5
поожалуйста динамики рвутся,DELTA_MINUS_25
бивис заткнись быстро,SET_0
ну ничего не слышно брат,DELTA_PLUS_25
пожалуйста зактни плиз,SET_0
чуть чуть поитше пожалуйста,DELTA_MINUS_5
брух почти не слышу плиз,DELTA_PLUS_25
слушай на максимум,SET_100
эй бивис тихо слышно сейчас,DELTA_PLUS_15
бивис чуть убаввь пожалуйста,DELTA_MINUS_5
короче выруби звук сейчас,SET_0
корочче чуть громче плиз,DELTA_PLUS_5
эй бивис мне не слышно плиз,DELTA_PLUS_25
слушай тихо слыно,DELTA_PLUS_15
эй бивис чуть чуть громче сейчас,DELTA_PLUS_5
слушай плохо сышно плиз,DELTA_PLUS_15
брух звук режет уши,DELTA_MINUS_25
ну динамики рвутся пожалуйста,DELTA_MINUS_25
ну сдеалй звук еле еле,SET_10
ну звук еле слышно быстро,DELTA_PLUS_15
эй бивис совсем не слышно пожалуйста,DELTA_PLUS_25
слушаай орёт,DELTA_MINUS_25
эй бивис чуть тише плиз,DELTA_MINUS_5
эй бивис сделай звук обычынм брат,SET_60
эй бивис динамики рвуться сейчас,DELTA_MINUS_25
пожалуйста зактни,SET_0
пжалуйста немного тише,DELTA_MINUS_5
эй бивис постваь таймер брат,UNKNOWN
пожалуйста расскажи анекдот плиз,UNKNOWN
эй бивиис открой браузер пожалуйста,UNKNOWN
пожалуйста нормально пожалуйста,SET_50
эй бивис сделай громче плиз,DELTA_PLUS_10
ну добавь громкости пожалуйста,DELTA_PLUS_10
короче найи файл брат,UNKNOWN
эй бивис приглуши брат,SET_20
бивис найди файл плиз,UNKNOWN
пожалуйтса чуть чуть громче быстро,DELTA_PLUS_5
пожалуйста сделай громче пожалуйста,DELTA_PLUS_10
пожалуйста громко,DELTA_MINUS_10
ну заткнись сйечас,SET_0
пожалуйста немного громче пожалуйста,DELTA_PLUS_5
пожалуйста сделай звук обычным пожалуйста,SET_60
эй бивис слышно фигово плиз,DELTA_PLUS_15
короче громковато,DELTA_MINUS_10
чуть громче,DELTA_PLUS_5
эй бивис мьют плиз,SET_0
пожалуйста найди файл,UNKNOWN
слушай чуть чуть потише плиз,DELTA_MINUS_5
эй бивис бивис чуть чуть потише сейчас,DELTA_MINUS_5
громко но не максимум,SET_80
брух на максимум сейчас,SET_100
брух найди файл,UNKNOWN
зактни плиз,SET_0
ну еле слышно брат,DELTA_PLUS_15
эй бивиис закрой окно быстро,UNKNOWN
пожалуйста громко плиз,DELTA_MINUS_10
слушай сделай погромче нормально плиз,SET_70
короче посатвь на ноль,SET_0
короче гроомко но не максимум,SET_80
эй бивис слишком громко быстро,DELTA_MINUS_15
слушай громко быстро,DELTA_MINUS_10
эй бивис динамики рвтуся плиз,DELTA_MINUS_25
слушай сделай еле слышно сейчас,SET_10
слушай переключи пеню плиз,UNKNOWN
брух орёт быстро,DELTA_MINUS_25
ну мьют пожалуйста,SET_0
поставь еле слышно плиз,SET_10
слушай закрой окно быстрро,UNKNOWN
пожалуйста запусти блокнот плиз,UNKNOWN
обычный уровень брат,SET_60
орёт,DELTA_MINUS_25
ну почти оглох,DELTA_MINUS_25
слушай слегка громче брат,DELTA_PLUS_5
слушай почти на мкасимум плиз,SET_90
ну сделай чуть громче плиз,DELTA_PLUS_5
слушай чуть тише плиз,DELTA_MINUS_5
ну приглуши звук пожалуйста,SET_20
сушай переключи песню,UNKNOWN
короче грмоко но не максимум плиз,SET_80
короче тише быстро,DELTA_MINUS_10
короче динамики рвутся плиз,DELTA_MINUS_25
короче средне пожалуйста,SET_50
бивис сделай почти без звука быстро,SET_10
сделай громче сейчас,DELTA_PLUS_10
громко плиз,DELTA_MINUS_10
брух расскажи анекдот пожалуйста,UNKNOWN
слушай обычныый уровень брат,SET_60
пожалуйтса очень тихо слышно плиз,DELTA_PLUS_15
кроче сделай скриншот,UNKNOWN
брух мне не слышно сейчас,DELTA_PLUS_25
ну еле слышно,DELTA_PLUS_15
пожалуйста пчоти оглох быстро,DELTA_MINUS_25
корооче найди файл,UNKNOWN
брух погромче сейчас,DELTA_PLUS_10
брух сделай скриншот сеейчас,UNKNOWN
пжоалуйста поставь таймер быстро,UNKNOWN
эй бивис сделай погромче нормально пожалуйста,SET_70
брух фигово слышно брат,DELTA_PLUS_15
слушай уши режет,DELTA_MINUS_25
брух убери звук быстро,SET_0
короче сделай очень тихо брат,SET_10
короче мне не слшно сейчас,DELTA_PLUS_25
бивис сделай звук обычым брат,SET_60
слушай что по времени брат,UNKNOWN
эй бивис звук режет уши быыстро,DELTA_MINUS_25
брух сделай гормче пожалуйста,DELTA_PLUS_10
брух выключи звук пожалуйста,SET_0
слуай поставь таймер,UNKNOWN
брух поставь еле слышно,SET_10
брух обчыный уровень плиз,SET_60
брух поставь еле слышно брат,SET_10
слушай громко слишком плиз,DELTA_MINUS_15
слуай громче брат,DELTA_PLUS_10
эй бивис очень тихо брат,DELTA_PLUS_25
пожалуйста какаая погода плиз,UNKNOWN
пожаулйста обычный звук пожалуйста,SET_60
брух потише быстро,DELTA_MINUS_10
эй биивис громковато плиз,DELTA_MINUS_10
пожалуйста ничего не слышно,DELTA_PLUS_25
пожалуйста орет плиз,DELTA_MINUS_25
брух комфортно плиз,SET_60
бивис сделай громче,DELTA_PLUS_10
эй бивис совсем не слышно сейчас,DELTA_PLUS_25
короче погромче пожалуйста,DELTA_PLUS_10
брух выруби звук пожалуйста,SET_0
брух не слышно,DELTA_PLUS_25
брух слишкоом громко пожалуйста,DELTA_MINUS_15
короче динамики рвутся,DELTA_MINUS_25
очень громко брат,DELTA_MINUS_25
бивис мьют брат,SET_0
ну чуть убавь сейчас,DELTA_MINUS_5
плохо слышно пожалуйста,DELTA_PLUS_15
брух сделай погромче нормально сейчас,SET_70
пожалуйста убавь быстро,DELTA_MINUS_10
бивис совсем не слышно плиз,DELTA_PLUS_25
бивис какая погода плиз,UNKNOWN
короче заткнись сейчас,SET_0
бивис чуть чуть гормче,DELTA_PLUS_5
слушай сделай тише плиз,DELTA_MINUS_10
эй бивис тихо слшыно брат,DELTA_PLUS_15
сделай звук обычным пожалуйста,SET_60
фигово слышно пожалуйста,DELTA_PLUS_15
слушай тихо слышно брат,DELTA_PLUS_15
ну отключи звук сейас,SET_0
бивис тише быстро,DELTA_MINUS_10
бивис орет плиз,DELTA_MINUS_25
нормально,SET_50
эй бивис очень громко пожалуйста,DELTA_MINUS_25
брух посттавь на ноль брат,SET_0
пожалуйста переключи песню,UNKNOWN
эй бивис на максимум пожалуйста,SET_100
короче поставь тайер брат,UNKNOWN
эй бивис ничего не слышно,DELTA_PLUS_25
пожалуйста еле слышно,DELTA_PLUS_15
брух тихо слышшно сейчас,DELTA_PLUS_15
бивис биивс чуть чуть громче,DELTA_PLUS_5
брух обычный уроень,SET_60
слушай сдеелай ноль сейчас,SET_0
сделай ноль,SET_0
октрой браузер,UNKNOWN
слушай отключи звук пожалуйста,SET_0
ну фигово слышно плиз,DELTA_PLUS_15
ну сделай звук обычным плиз,SET_60
короче поставь тйамер быстро,UNKNOWN
эй бивис приглуши,SET_20
бивис очень тихо быстро,DELTA_PLUS_25
чуть чуть потише быстро,DELTA_MINUS_5
короче сделай почти без звука быстро,SET_10
слушай сделай очнь тихо сейчас,SET_10
брух слегка громче,DELTA_PLUS_5
слушай динамики рвутся сейчас,DELTA_MINUS_25
заткни пожауйста,SET_0
бивис очень тихо слышно пожалуйста,DELTA_PLUS_15
ну орет,DELTA_MINUS_25
брух громковато быстро,DELTA_MINUS_10
ну откой ютуб брат,UNKNOWN
биивс запусти блокнот,UNKNOWN
короче громковато как то пожалуйста,DELTA_MINUS_10
слушай на полную пожалуйста,SET_100
бивис нчего не слышно сейчас,DELTA_PLUS_25
эй бивис заткнись брат,SET_0
брух очень тихо слышно быстро,DELTA_PLUS_15
вырби звук,SET_0
пожалуйста громко слишком брат,DELTA_MINUS_15
ну заглуши звук плиз,SET_0
брух найи файл плиз,UNKNOWN
брух нормально брат,SET_50
надйи файл,UNKNOWN
эй бивис открой браузеер,UNKNOWN
короче совсем не слышно плиз,DELTA_PLUS_25
эй бивис расскажи анекдот,UNKNOWN
брух без звука пожалуйста,SET_0
очень тихо слышно пожалуйста,DELTA_PLUS_15
пожалуйста не слышно быстро,DELTA_PLUS_25
эй бивис открой браузер плиз,UNKNOWN
слушай на максимум плиз,SET_100
ну переключи песню пожалуйста,UNKNOWN
эй бивис выключи звук быстро,SET_0
пожалуйста громковато сейчас,DELTA_MINUS_10
эй бивис раскажи анекдот сейчас,UNKNOWN
бивис сделай чуть громче пожалуйста,DELTA_PLUS_5
короче выключи звук быстро,SET_0
ну срдне брат,SET_50
бвис приглуши звук брат,SET_20
еле слышно сейчас,DELTA_PLUS_15
найди файл быстро,UNKNOWN
ну слышно фигово плиз,DELTA_PLUS_15
короче на ноль,SET_0
слушай а ну тихо пожалуйста,DELTA_MINUS_10
короче звук режет уши,DELTA_MINUS_25
короче добавь громкости сейчас,DELTA_PLUS_10
пожалуйста очень тихо плиз,DELTA_PLUS_25
короче включи звук плиз,SET_0
пожалуйста слышно фигово брат,DELTA_PLUS_15
что по времени пожалуйста,UNKNOWN
пожалуйста чуть чуть потие,DELTA_MINUS_5
короче слегка громче пожалуйста,DELTA_PLUS_5
короче плохо слышно брат,DELTA_PLUS_15
ну громко но не максимум,SET_80
слушай расскажи анекдот брат,UNKNOWN
слушай немного тише сейчас,DELTA_MINUS_5
слушай постаавь таймер быстро,UNKNOWN
эй бивис зактни быстро,SET_0
седлай еле слышно брат,SET_10
эй бивис сделай ноль плиз,SET_0
эй бивис звук еле слышно быстро,DELTA_PLUS_15
слушай не сллышно сейчас,DELTA_PLUS_25
брух бивис чуть чуть потише быстро,DELTA_MINUS_5
биивис средне сейчас,SET_50
ну сделай очень тихо,SET_10
какая погода плиз,UNKNOWN
бвиис орет,DELTA_MINUS_25
ну чуть тише,DELTA_MINUS_5
ну чуть тише сейчас,DELTA_MINUS_5
брух сделай пригулшенно,SET_20
эй бивис переключи песню,UNKNOWN
слушай уши режет плиз,DELTA_MINUS_25
бивис выключи звук сейчаас,SET_0
ну убреи звук сейчас,SET_0
брух динмики рвуться,DELTA_MINUS_25
слушай громковато брат,DELTA_MINUS_10
короче в ноль быстро,SET_0
бивис зактни,SET_0
ну без звука пожалуйста,SET_0
брух немного тише сейчас,DELTA_MINUS_5
короче почти оглох плиз,DELTA_MINUS_25
бивис сделай скриншот сейчас,UNKNOWN
бивис потавь на ноль плиз,SET_0
совсем не слышно сейчас,DELTA_PLUS_25
бивис слышно фигово пожалуйста,DELTA_PLUS_15
брух грокмо но не максимум сейчас,SET_80
брух очень громко сейчас,DELTA_MINUS_25
